'id','livro','titulo','capitulo','secao','subsecao','artigo','sub_artigo','paragrafo','inciso','alinea','texto'
1,1,1,1,0,0,1,0,0,0,0,"Art.1oAjurisdição civil, contenciosa e voluntária, é exercida pelos juízes, em todo oterritório nacional, conforme as disposições que este Código estabelece."
2,1,1,1,0,0,2,0,0,0,0,"Art.2oNenhum juiz prestará a tutela jurisdicionalsenão quando a parte ou o interessado a requerer, nos casos e forma legais."
3,1,1,2,0,0,3,0,0,0,0,Art.3oParapropor ou contestar ação é necessário ter interesse e legitimidade.
4,1,1,2,0,0,4,0,0,0,0,Art.4oO interesse do autor pode limitar-se àdeclaração:
5,1,1,2,0,0,4,0,0,1,0,I-da existência ou da inexistência de relação jurídica;
6,1,1,2,0,0,4,0,0,2,0,II-da autenticidade ou falsidade de documento.
7,1,1,2,0,0,4,0,1,0,0,"Parágrafo único.É admissível a ação declaratória, ainda que tenhaocorrido a violação do direito."
8,1,1,2,0,0,5,0,0,0,0,"Art.5oSe, no cursodo processo, se tornar litigiosa relação jurídica de cuja existência ou inexistênciadepender o julgamento da lide, qualquer das partes poderá requerer que o juiz a declarepor sentença. (Redação dada pela Lei nº 5.925, de1973)"
9,1,1,2,0,0,6,0,0,0,0,"Art.6oNinguém poderá pleitear, em nome próprio,direito alheio, salvo quando autorizado por lei."
10,1,2,1,0,0,7,0,0,0,0,Art.7oTodapessoa que se acha no exercício dos seus direitos tem capacidade para estar em juízo.
11,1,2,1,0,0,8,0,0,0,0,"Art.8oOs incapazes serão representados ou assistidospor seus pais, tutores ou curadores, na forma da lei civil."
12,1,2,1,0,0,9,0,0,0,0,Art.9oO juiz dará curador especial:
13,1,2,1,0,0,9,0,0,1,0,"I-ao incapaz, se não tiver representante legal, ou se os interesses destecolidirem com os daquele;"
14,1,2,1,0,0,9,0,0,2,0,"II-ao réu preso, bem como ao revel citado por edital ou com hora certa."
15,1,2,1,0,0,9,0,1,0,0,"Parágrafo único.Nas comarcas onde houver representante judicial de incapazesou de ausentes, a este competirá a função de curador especial."
16,1,2,1,0,0,10,0,0,0,0,"Art.10.O cônjugesomente necessitará do consentimento do outro para propor ações que versem sobredireitos reais imobiliários. (Redação dada pela Lei nº8.952, de 1994)"
17,1,2,1,0,0,10,0,1,0,0,"§1oAmbos os cônjuges serão necessariamente citados para asações: (Renumerado do Parágrafo único pela Lei nº 8.952, de1994)"
18,1,2,1,0,0,10,0,2,0,0,"Parágrafo único pela Lei nº 8.952, de1994)"
19,1,2,1,0,0,10,0,2,1,0,"I-que versem sobre direitos reais imobiliários; (Redaçãodada pela Lei nº 8.952, de 1994)"
20,1,2,1,0,0,10,0,2,2,0,"II-resultantes de fatos que digam respeito a ambos os cônjuges ou de atospraticados por eles; (Redação dada pela Lei nº5.925, de 1973)"
21,1,2,1,0,0,10,0,2,3,0,"III-fundadas em dívidas contraídas pelo marido a bem da família, mas cujaexecução tenha de recair sobre o produto do trabalho da mulher ou os seus bensreservados; (Redação dada pela Lei nº 5.925, de1973)"
22,1,2,1,0,0,10,0,2,4,0,"IV-que tenham por objeto o reconhecimento, a constituição ou a extinção deônus sobre imóveis de um ou de ambos os cônjuges.(Redaçãodada pela Lei nº 5.925, de 1973)"
23,1,2,1,0,0,10,0,3,0,0,">§2oNasações possessórias, a participação do cônjuge do autor ou do réu somente éindispensável nos casos de composse ou de ato por ambos praticados. (Incluído pela Lei nº 8.952, de 1994)"
24,1,2,1,0,0,11,0,0,0,0,"Art.11.A autorização do marido e a outorga da mulher podem suprir-sejudicialmente, quando um cônjuge a recuse ao outro sem justo motivo, ou lhe sejaimpossível dá-la."
25,1,2,1,0,0,11,0,1,0,0,"Parágrafo único.A falta, não suprida pelo juiz, da autorização ou daoutorga, quando necessária, invalida o processo."
26,1,2,1,0,0,12,0,0,0,0,"Art.12.Serão representados em juízo, ativa e passivamente:"
27,1,2,1,0,0,12,0,0,1,0,"I-a União, os Estados, o Distrito Federal e os Territórios, por seusprocuradores;"
28,1,2,1,0,0,12,0,0,2,0,"II-o Município, por seu Prefeito ou procurador;"
29,1,2,1,0,0,12,0,0,3,0,"III-a massa falida, pelo síndico;"
30,1,2,1,0,0,12,0,0,4,0,"IV-a herança jacente ou vacante, por seu curador;"
31,1,2,1,0,0,12,0,0,5,0,"V-o espólio, pelo inventariante;"
32,1,2,1,0,0,12,0,0,6,0,"VI-as pessoas jurídicas, por quem os respectivos estatutos designarem, ou,não os designando, por seus diretores;"
33,1,2,1,0,0,12,0,0,7,0,"VII-as sociedades sem personalidade jurídica, pela pessoa a quem couber aadministração dos seus bens;"
34,1,2,1,0,0,12,0,0,8,0,"VIII-a pessoa jurídica estrangeira, pelo gerente, representante ouadministrador de sua filial, agência ou sucursal aberta ou instalada no Brasil (art. 88,parágrafo único);"
35,1,2,1,0,0,12,0,0,9,0,"IX-o condomínio, pelo administrador ou pelo síndico."
36,1,2,1,0,0,12,0,1,0,0,"§1oQuando o inventariante for dativo, todos osherdeiros e sucessores do falecido serão autores ou réus nas ações em que o espóliofor parte."
37,1,2,1,0,0,12,0,2,0,0,"§2o-As sociedades sem personalidade jurídica, quandodemandadas, não poderão opor a irregularidade de sua constituição."
38,1,2,1,0,0,12,0,3,0,0,"§3oO gerente da filial ou agência presume-seautorizado, pela pessoa jurídica estrangeira, a receber citação inicial para o processode conhecimento, de execução, cautelar e especial."
39,1,2,1,0,0,13,0,0,0,0,"Art.13.Verificando a incapacidade processual ou a irregularidade darepresentação das partes, o juiz, suspendendo o processo, marcará prazo razoável paraser sanado o defeito."
40,1,2,1,0,0,13,0,0,1,0,"I-ao autor, o juiz decretará a nulidade do processo;"
41,1,2,1,0,0,13,0,0,2,0,"II-ao réu, reputar-se-á revel;"
42,1,2,1,0,0,13,0,0,3,0,"III-ao terceiro, será excluído do processo."
43,1,2,2,0,0,14,0,0,0,0,"Art. 14. Sãodeveres das partes e de todos aqueles que de qualquer forma participam do processo: (Redação dada pela Lei nº 10.358, de 2001)"
44,1,2,2,0,0,14,0,0,1,0,I-expor os fatos em juízo conforme a verdade;
45,1,2,2,0,0,14,0,0,2,0,II-proceder com lealdade e boa-fé;
46,1,2,2,0,0,14,0,0,3,0,"III-não formular pretensões, nem alegar defesa, cientes de que sãodestituídas de fundamento;"
47,1,2,2,0,0,14,0,0,4,0,"IV-não produzir provas, nem praticar atos inúteis ou desnecessários àdeclaração ou defesa do direito."
48,1,2,2,0,0,14,0,1,0,0,"Parágrafo único. Ressalvados os advogados que se sujeitam exclusivamente aos estatutosda OAB, a violação do disposto no inciso V deste artigo constitui ato atentatório aoexercício da jurisdição, podendo o juiz, sem prejuízo das sanções criminais, civise processuais cabíveis, aplicar ao responsável multa em montante a ser fixado deacordo com a gravidade da conduta e não superior a vinte por cento do valor da causa;não sendo paga no prazo estabelecido, contado do trânsito em julgado dadecisão final da causa, a multa será inscrita sempre como dívida ativa da União ou doEstado. (Incluído pela Lei nº 10.358, de 2001)"
49,1,2,2,0,0,15,0,0,0,0,"Art.15.É defeso às partes e seus advogados empregar expressõesinjuriosas nos escritos apresentados no processo, cabendo ao juiz, de ofício ou arequerimento do ofendido, mandar riscá-las."
50,1,2,2,0,0,15,0,1,0,0,"Parágrafo único.Quando as expressões injuriosas forem proferidas em defesaoral, o juiz advertirá o advogado que não as use, sob pena de Ihe ser cassada a palavra."
51,1,2,2,0,0,16,0,0,0,0,"Art.16.Responde por perdas e danos aquele que pleitear de má-fécomo autor, réu ou interveniente."
52,1,2,2,0,0,17,0,0,0,0,"Art.17.Reputa-selitigante de má-fé aquele que: (Redação dada pelaLei nº 6.771, de 1980)"
53,1,2,2,0,0,17,0,0,1,0,"I-deduzir pretensão ou defesa contra texto expresso de lei ou fatoincontroverso; (Redação dada pela Lei nº 6.771, de1980)"
54,1,2,2,0,0,17,0,0,2,0,"II-alterar a verdade dos fatos; (Redaçãodada pela Lei nº 6.771, de 1980)"
55,1,2,2,0,0,17,0,0,3,0,"III-usar do processo para conseguir objetivo ilegal; (Redação dada pela Lei nº 6.771, de 1980)"
56,1,2,2,0,0,17,0,0,4,0,"IV-opuser resistência injustificada ao andamento do processo; (Redação dada pela Lei nº 6.771, de 1980)"
57,1,2,2,0,0,17,0,0,5,0,"V-proceder de modo temerário em qualquer incidente ou ato do processo; (Redação dada pela Lei nº 6.771, de 1980)"
58,1,2,2,0,0,17,0,0,6,0,"Vl-provocar incidentes manifestamente infundados. (Redação dada pela Lei nº 6.771, de 1980)"
59,1,2,2,0,0,17,0,0,7,0,"VII-interpuser recurso comintuito manifestamente protelatório. (Incluído pela Lei nº 9.668, de1998)"
60,1,2,2,0,0,18,0,0,0,0,"Art. 18. O juiz ou tribunal, deofício ou a requerimento, condenará o litigante de má-fé a pagar multa não excedentea um por cento sobre o valor da causa e a indenizar a parte contrária dos prejuízos queesta sofreu, mais os honorários advocatícios e todas as despesas que efetuou. (Redaçãodada pela Lei nº 9.668, de 1998)"
61,1,2,2,0,0,18,0,1,0,0,"§1oQuando forem dois ou mais os litigantes demá-fé, o juiz condenará cada um na proporção do seu respectivo interesse na causa, ousolidariamente aqueles que se coligaram para lesar a parte contrária."
62,1,2,2,0,0,18,0,2,0,0,">§2oOvalor da indenização será desde logo fixado pelo juiz, em quantia não superior a 20%(vinte por cento) sobre o valor da causa, ou liquidado por arbitramento. (Redação dada pela Lei nº 8.952, de 1994)"
63,1,2,2,0,0,19,0,0,0,0,"Art.19.Salvo as disposições concernentes à justiça gratuita,cabe às partes prover as despesas dos atos que realizam ou requerem no processo,antecipando-lhes o pagamento desde o início até sentença final; e bem ainda, naexecução, até a plena satisfação do direito declarado pela sentença."
64,1,2,2,0,0,19,0,1,0,0,§1oO pagamento de que trata este artigo será feitopor ocasião de cada ato processual.
65,1,2,2,0,0,19,0,2,0,0,"§2oCompete ao autor adiantar as despesas relativas aatos, cuja realização o juiz determinar de ofício ou a requerimento do MinistérioPúblico."
66,1,2,2,0,0,20,0,0,0,0,"Art. 20. A sentença condenará ovencido a pagar ao vencedor as despesas que antecipou e os honorários advocatícios. Estaverba honorária será devida, também, nos casos em que o advogado funcionar em causaprópria. (Redação dada pela Lei nº 6.355, de 1976)"
67,1,2,2,0,0,20,0,1,0,0," §1º O juiz, ao decidir qualquer incidente ou recurso, condenará nas despesas o vencido. (Redação dada pela Lei nº 5.925, de 1973)"
68,1,2,2,0,0,20,0,2,0,0," §2º As despesas abrangem não só as custas dos atos do processo, como também aindenização de viagem, diária de testemunha e remuneração do assistente técnico. (Redação dada pela Lei nº 5.925, de 1973)"
69,1,2,2,0,0,20,0,3,0,0," §3º Os honorários serão fixados entre o mínimo de dez por cento (10%) e o máximo devinte por cento (20%) sobre o valor da condenação, atendidos: (Redação dada pela Lei nº 5.925, de 1973)"
70,1,2,2,0,0,20,0,3,0,1," a)o grau de zelo do profissional; (Redação dada pelaLei nº 5.925, de 1973)"
71,1,2,2,0,0,20,0,3,0,2," b)o lugar de prestação do serviço; (Redação dadapela Lei nº 5.925, de 1973)"
72,1,2,2,0,0,20,0,3,0,3," c)a natureza e importância da causa, o trabalho realizado pelo advogado e o tempo exigidopara o seu serviço. (Redação dada pela Lei nº5.925, de 1973)"
73,1,2,2,0,0,20,0,4,0,0,">§4oNascausas de pequeno valor, nas de valor inestimável, naquelas em que não houvercondenação ou for vencida a Fazenda Pública, e nas execuções, embargadas ou não, oshonorários serão fixados consoante apreciação eqüitativa do juiz, atendidas as normasdas alíneas a, b e c do parágrafo anterior. (Redação dadapela Lei nº 8.952, de 1994)"
74,1,2,2,0,0,20,0,5,0,0,">§5oNasações de indenização por ato ilícito contra pessoa, o valor da condenação será asoma das prestações vencidas com o capital necessário a produzir a renda correspondenteàs prestações vincendas (art. 602), podendo estas ser pagas, também mensalmente, naforma do §2o do referido art. 602, inclusive em consignação nafolha de pagamentos do devedor. (Incluído pela Lei nº 6.745, de 1979) (Vide §2º do art 475-Q)"
75,1,2,2,0,0,21,0,0,0,0,"Art.21.Se cada litigante for em parte vencedor e vencido, serãorecíproca e proporcionalmente distribuídos e compensados entre eles os honorários e asdespesas."
76,1,2,2,0,0,21,0,1,0,0,"Parágrafo único.Se um litigante decair de parte mínima do pedido, o outroresponderá, por inteiro, pelas despesas e honorários."
77,1,2,2,0,0,22,0,0,0,0,"Art.22.O réu que, por não argüirna sua resposta fato impeditivo, modificativo ou extintivo do direito do autor, dilatar ojulgamento da lide, será condenado nas custas a partir do saneamento do processo eperderá, ainda que vencedor na causa, o direito a haver do vencido honoráriosadvocatícios. (Redação dada pela Lei nº 5.925, de 1973)"
78,1,2,2,0,0,23,0,0,0,0,"Art.23.Concorrendo diversos autores ou diversos réus, os vencidosrespondem pelas despesas e honorários em proporção."
79,1,2,2,0,0,24,0,0,0,0,"Art.24.Nos procedimentos de jurisdição voluntária, as despesas serãoadiantadas pelo requerente, mas rateadas entre os interessados."
80,1,2,2,0,0,25,0,0,0,0,"Art.25.Nos juízos divisórios, não havendo litígio, os interessadospagarão as despesas proporcionalmente aos seus quinhões."
